Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2023-01-01T00:00+01:00,2455.82,,,-5.17
2023-01-01T01:00+01:00,2452.83,8702.98,38644.6,-1.07
2023-01-01T02:00+01:00,2454.68,8628.87,39117.67,-1.47
2023-01-01T03:00+01:00,2455.1,8601.36,37536,-5.08
2023-01-01T04:00+01:00,2456.3,8604.42,36510.58,-4.49
2023-01-01T05:00+01:00,2459.87,8550.27,36931.45,-5.4
2023-01-01T06:00+01:00,2459.41,8552.31,36429.75,-5.02
2023-01-01T07:00+01:00,2459.91,8606.27,37168.69,-1.3
2023-01-01T08:00+01:00,2458.76,8591.5,36363.15,-1.44
2023-01-01T09:00+01:00,2461.49,8575.18,37716.11,-1.09
2023-01-01T10:00+01:00,2460.33,8468.85,40668.85,-1.07
2023-01-01T11:00+01:00,2456.65,8482.15,41791.96,-1.07
2023-01-01T12:00+01:00,2457.41,8506.03,42259.55,-0.79
2023-01-01T13:00+01:00,2451.25,8639.68,40721.6,-0.27
2023-01-01T14:00+01:00,2450.72,8830.27,39975.41,0.85
2023-01-01T15:00+01:00,2446.62,8864.92,38307.69,23.53
2023-01-01T16:00+01:00,2446.54,9329.02,35207.68,36.54
2023-01-01T17:00+01:00,2451.07,9218.81,33298.07,46.03
2023-01-01T18:00+01:00,2452.92,9639.69,32809.17,55.57
2023-01-01T19:00+01:00,2453.89,9704.62,32021.38,54.95
2023-01-01T20:00+01:00,2456.2,9605.14,31731.72,49.23
2023-01-01T21:00+01:00,2455.76,9278.13,32699.6,44.99
2023-01-01T22:00+01:00,2456.41,9219,30941.23,45.96
2023-01-01T23:00+01:00,2455.32,9374.06,29550.81,35
2023-01-02T00:00+01:00,2458.66,9689.59,28713.74,57.91
2023-01-02T01:00+01:00,2454.67,9540.95,27294.23,51.67
2023-01-02T02:00+01:00,2456.51,9626.39,27967.47,52.93
2023-01-02T03:00+01:00,2454.84,9695.47,29133.76,44.09
2023-01-02T04:00+01:00,2454.62,10087.49,31122.91,50.08
2023-01-02T05:00+01:00,2452.57,11300.68,32376.72,69.72
