Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-04T08:00+01:00,4048.38,32072.26,23314.54,178.91
2022-01-04T09:00+01:00,4059.22,33536.69,22670.5,190
2022-01-04T10:00+01:00,4058.65,34070.64,23392.32,189.88
2022-01-04T11:00+01:00,4057.98,34192.46,24134.11,182.42
2022-01-04T12:00+01:00,4048.6,34535.43,25896.27,182.46
2022-01-04T13:00+01:00,4042.9,34604.71,27016.37,179.59
2022-01-04T14:00+01:00,4042.19,34088.85,27694.33,179
2022-01-04T15:00+01:00,4044.83,33927.5,27361.25,180.93
2022-01-04T16:00+01:00,4052.47,33944.35,27494.87,166.69
2022-01-04T17:00+01:00,4057.39,34248.21,28362.76,189.88
2022-01-04T18:00+01:00,4054.24,34202.23,28573.01,184.94
2022-01-04T19:00+01:00,4064.15,34043,28607.89,178.99
2022-01-04T20:00+01:00,4070.88,33076.03,29388.66,156.12
2022-01-04T21:00+01:00,4074.41,31206.39,29435.57,140.92
2022-01-04T22:00+01:00,4081.84,30332.49,28638.68,137.92
2022-01-04T23:00+01:00,4080.4,29526.15,29142.35,97.56
2022-01-05T00:00+01:00,4083.28,26423.84,29684.16,105.31
2022-01-05T01:00+01:00,4086.43,24384.33,31188.27,97.29
2022-01-05T02:00+01:00,4088.54,23056.2,32786.2,84.5
2022-01-05T03:00+01:00,4090.7,21081.25,35349.53,75.38
2022-01-05T04:00+01:00,4090.71,21036.42,36919.43,79.11
2022-01-05T05:00+01:00,4088.03,22635.19,38432.68,94.79
2022-01-05T06:00+01:00,4069.12,24627.96,41347.58,99.16
2022-01-05T07:00+01:00,4067.49,26355.97,42579.96,101.15
2022-01-05T08:00+01:00,4069,26504.48,44328.13,129.56
2022-01-05T09:00+01:00,4085.18,25317.7,46395.63,113.37
2022-01-05T10:00+01:00,4077.18,25176.84,49379.26,94.43
2022-01-05T11:00+01:00,4077.38,24871.66,53006.01,98.1
2022-01-05T12:00+01:00,4085.12,23719.73,54683.85,95.68
2022-01-05T13:00+01:00,4084.41,23253.69,55447.82,96.8
2022-01-05T14:00+01:00,4077.24,23658.97,53612.62,107.32
2022-01-05T15:00+01:00,4078.48,24772.2,50475.79,119.48
2022-01-05T16:00+01:00,4072.22,25541.93,48584.81,137.28
2022-01-05T17:00+01:00,4075.78,26057.77,45316.2,148.09
2022-01-05T18:00+01:00,4080.34,26295.56,44990.7,139.88
2022-01-05T19:00+01:00,4082.72,25839.81,44331.33,135.75
2022-01-05T20:00+01:00,4084.04,24673.67,43061.03,119.93
2022-01-05T21:00+01:00,4086.59,23697.22,40698.5,98.09
